benchmark: gate35_g0
solver:    inference
games:     24
passes:    1
runs:      24 (won: 0)
started:   2026-09-08 10:18:41
ended:     in progress
mean score:    0.86
median score:  0.00
total actions: 676
total tokens:  614146
generated tokens/sec: 340.26 (job wallclock)
total wallclock: 23731.4s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=78, tokens=43002
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=38, tokens=47890
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=52, tokens=40857
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=33, tokens=37165
  ft09-0d8bbf25: score=14.29, levels=2.0/6, actions=31, tokens=40751
  g50t-5849a774: score=0.00, levels=0.0/7, actions=26, tokens=36308
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=39, tokens=38439
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=21, tokens=38024
  lp85-305b61c3: score=1.66, levels=1.0/8, actions=22, tokens=51405
  ls20-9607627b: score=0.00, levels=0.0/7, actions=65, tokens=43744
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=18, tokens=46858
  r11l-495a7899: score=0.00, levels=0.0/6, actions=30, tokens=27696
  re86-8af5384d: score=0.00, levels=0.0/8, actions=10, tokens=21286
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=25, tokens=23814
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=25, tokens=18801
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=19, tokens=18359
  sk48-d8078629: score=0.00, levels=0.0/8, actions=51, tokens=17590
  sp80-589a99af: score=0.00, levels=0.0/6, actions=93, tokens=22157
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=0, tokens=0
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=0, tokens=0
  tr87-cd924810: score=0.00, levels=0.0/6, actions=0, tokens=0
  tu93-0768757b: score=0.00, levels=0.0/9, actions=0, tokens=0
  vc33-5430563c: score=0.00, levels=0.0/7, actions=0, tokens=0
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=0, tokens=0
