INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-17 22:49:20 | INFO | Created new scorecard: c8a38282-2e13-4131-bfb5-7537adbe57ba
2026-08-17 22:49:20 | INFO | Found latest version of sc25: sc25-635fd71a (downloaded: 2026-08-07 09:21:02.685063+00:00)
2026-08-17 22:49:20 | INFO | Successfully loaded game class Sc25 from environment_files/sc25/635fd71a/sc25.py
  扩展 500 | 见过 1583 | 队列 1083 | 最深 4 | 18s
  扩展 1000 | 见过 2709 | 队列 1709 | 最深 5 | 36s
  扩展 1500 | 见过 3502 | 队列 2002 | 最深 5 | 54s
  扩展 2000 | 见过 4376 | 队列 2376 | 最深 6 | 72s
  扩展 2500 | 见过 5106 | 队列 2606 | 最深 6 | 89s
  扩展 3000 | 见过 5938 | 队列 2938 | 最深 6 | 107s
  扩展 3500 | 见过 6514 | 队列 3014 | 最深 6 | 124s
  扩展 4000 | 见过 7225 | 队列 3225 | 最深 7 | 141s
  扩展 4500 | 见过 7868 | 队列 3368 | 最深 7 | 158s
  扩展 5000 | 见过 8442 | 队列 3442 | 最深 7 | 175s
  扩展 5500 | 见过 9573 | 队列 4073 | 最深 7 | 193s
  扩展 6000 | 见过 10131 | 队列 4131 | 最深 7 | 210s
  扩展 6500 | 见过 10637 | 队列 4137 | 最深 7 | 227s
  扩展 7000 | 见过 11184 | 队列 4184 | 最深 8 | 244s
  扩展 7500 | 见过 11742 | 队列 4242 | 最深 8 | 262s
  扩展 8000 | 见过 12268 | 队列 4268 | 最深 8 | 279s
  扩展 8500 | 见过 12744 | 队列 4244 | 最深 8 | 296s
  扩展 9000 | 见过 13777 | 队列 4777 | 最深 8 | 313s
  扩展 9500 | 见过 15045 | 队列 5545 | 最深 8 | 331s
  扩展 10000 | 见过 15700 | 队列 5700 | 最深 8 | 348s
  扩展 10500 | 见过 16147 | 队列 5647 | 最深 8 | 365s
  扩展 11000 | 见过 16571 | 队列 5571 | 最深 9 | 382s
  扩展 11500 | 见过 17074 | 队列 5574 | 最深 9 | 400s
  扩展 12000 | 见过 17527 | 队列 5527 | 最深 9 | 417s
  扩展 12500 | 见过 17870 | 队列 5370 | 最深 9 | 434s
  扩展 13000 | 见过 18326 | 队列 5326 | 最深 9 | 452s
  扩展 13500 | 见过 19410 | 队列 5910 | 最深 9 | 469s
  扩展 14000 | 见过 20503 | 队列 6503 | 最深 9 | 486s
  扩展 14500 | 见过 21043 | 队列 6543 | 最深 9 | 504s
  扩展 15000 | 见过 22376 | 队列 7376 | 最深 9 | 521s
  扩展 15500 | 见过 23382 | 队列 7882 | 最深 9 | 538s
  扩展 16000 | 见过 23708 | 队列 7708 | 最深 9 | 556s
  扩展 16500 | 见过 24067 | 队列 7567 | 最深 10 | 574s
  扩展 17000 | 见过 24481 | 队列 7481 | 最深 10 | 591s
  扩展 17500 | 见过 24824 | 队列 7324 | 最深 10 | 608s
  扩展 18000 | 见过 25128 | 队列 7128 | 最深 10 | 625s
  扩展 18500 | 见过 25665 | 队列 7165 | 最深 10 | 643s
  扩展 19000 | 见过 26599 | 队列 7599 | 最深 10 | 660s
  扩展 19500 | 见过 27278 | 队列 7778 | 最深 10 | 677s
  扩展 20000 | 见过 28051 | 队列 8051 | 最深 10 | 695s
  扩展 20500 | 见过 28599 | 队列 8099 | 最深 10 | 712s
  扩展 21000 | 见过 28988 | 队列 7988 | 最深 10 | 729s
  扩展 21500 | 见过 29966 | 队列 8466 | 最深 10 | 746s
  扩展 22000 | 见过 30903 | 队列 8903 | 最深 10 | 764s
  扩展 22500 | 见过 31478 | 队列 8978 | 最深 10 | 781s
  扩展 23000 | 见过 32762 | 队列 9762 | 最深 10 | 798s
  扩展 23500 | 见过 33652 | 队列 10152 | 最深 10 | 816s
  扩展 24000 | 见过 33913 | 队列 9913 | 最深 11 | 834s
  扩展 24500 | 见过 34200 | 队列 9700 | 最深 11 | 851s
  扩展 25000 | 见过 34402 | 队列 9402 | 最深 11 | 868s
  扩展 25500 | 见过 34878 | 队列 9378 | 最深 11 | 886s
  扩展 26000 | 见过 35526 | 队列 9526 | 最深 11 | 903s
  扩展 26500 | 见过 36054 | 队列 9554 | 最深 11 | 920s
  扩展 27000 | 见过 36448 | 队列 9448 | 最深 11 | 937s
  扩展 27500 | 见过 37063 | 队列 9563 | 最深 11 | 954s
  扩展 28000 | 见过 37912 | 队列 9912 | 最深 11 | 972s
  扩展 28500 | 见过 38294 | 队列 9794 | 最深 11 | 989s
  扩展 29000 | 见过 38512 | 队列 9512 | 最深 11 | 1006s
  扩展 29500 | 见过 39403 | 队列 9903 | 最深 11 | 1023s
  扩展 30000 | 见过 40014 | 队列 10014 | 最深 11 | 1041s
  扩展 30500 | 见过 40694 | 队列 10194 | 最深 11 | 1058s
  扩展 31000 | 见过 41224 | 队列 10224 | 最深 11 | 1075s
  扩展 31500 | 见过 41782 | 队列 10282 | 最深 11 | 1092s
  扩展 32000 | 见过 42869 | 队列 10869 | 最深 11 | 1110s
