INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-17 22:43:22 | INFO | Created new scorecard: 7e26e8a0-d598-4028-8ff6-e5d0134ec558
2026-08-17 22:43:22 | INFO | Found latest version of sc25: sc25-635fd71a (downloaded: 2026-08-07 09:21:02.685063+00:00)
2026-08-17 22:43:22 | INFO | Successfully loaded game class Sc25 from environment_files/sc25/635fd71a/sc25.py
开局九宫格 (2, 0, 2, 0, 2, 0, 2, 0, 2)  目标 (2, 14, 2, 14, 2, 14, 2, 14, 2)  h=4
  h 降到 3 (深度 2, 扩展 2, 0s) 九宫格 (2, 14, 2, 0, 2, 0, 2, 0, 2)
  h 降到 2 (深度 3, 扩展 3, 0s) 九宫格 (2, 14, 2, 14, 2, 0, 2, 0, 2)
  h 降到 1 (深度 4, 扩展 4, 0s) 九宫格 (2, 14, 2, 14, 2, 14, 2, 0, 2)
  扩展 500 | 见过 1720 | 堆 1220 | h 最好 1 | 9s
  扩展 1000 | 见过 2577 | 堆 1577 | h 最好 1 | 18s
  扩展 1500 | 见过 3216 | 堆 1716 | h 最好 1 | 27s
  扩展 2000 | 见过 4251 | 堆 2251 | h 最好 1 | 36s
  扩展 2500 | 见过 4902 | 堆 2402 | h 最好 1 | 45s
  扩展 3000 | 见过 5668 | 堆 2668 | h 最好 1 | 54s
  扩展 3500 | 见过 6215 | 堆 2715 | h 最好 1 | 62s
  扩展 4000 | 见过 6715 | 堆 2715 | h 最好 1 | 71s
  扩展 4500 | 见过 7040 | 堆 2540 | h 最好 1 | 80s
  扩展 5000 | 见过 7853 | 堆 2853 | h 最好 1 | 88s
  扩展 5500 | 见过 10355 | 堆 4855 | h 最好 1 | 98s
  扩展 6000 | 见过 11649 | 堆 5649 | h 最好 1 | 107s
  扩展 6500 | 见过 12672 | 堆 6172 | h 最好 1 | 116s
  扩展 7000 | 见过 13539 | 堆 6539 | h 最好 1 | 125s
  扩展 7500 | 见过 14232 | 堆 6732 | h 最好 1 | 133s
  扩展 8000 | 见过 14975 | 堆 6975 | h 最好 1 | 142s
  扩展 8500 | 见过 15817 | 堆 7317 | h 最好 1 | 151s
