INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-17 22:15:38 | INFO | Created new scorecard: 47ae0191-ec59-47c8-8a98-f0c602b8aee5
2026-08-17 22:15:38 | INFO | Found latest version of sc25: sc25-635fd71a (downloaded: 2026-08-07 09:21:02.685063+00:00)
2026-08-17 22:15:38 | INFO | Successfully loaded game class Sc25 from environment_files/sc25/635fd71a/sc25.py

=== 点击 + 按键(指纹含轨道): 动作 13 个, 上限 12000 节点 ===
开局九宫格 (2, 0, 2, 0, 2, 0, 2, 0, 2)
  扩展 200 | 见过 868 状态 | 队列 668 | 最深 5 | 4s
  扩展 400 | 见过 1429 状态 | 队列 1029 | 最深 5 | 7s
  扩展 600 | 见过 1856 状态 | 队列 1256 | 最深 6 | 11s
  扩展 800 | 见过 2290 状态 | 队列 1490 | 最深 6 | 14s
  扩展 1000 | 见过 2709 状态 | 队列 1709 | 最深 6 | 18s
  扩展 1200 | 见过 3049 状态 | 队列 1849 | 最深 6 | 21s
  扩展 1400 | 见过 3373 状态 | 队列 1973 | 最深 6 | 25s
  扩展 1600 | 见过 3606 状态 | 队列 2006 | 最深 6 | 28s
  扩展 1800 | 见过 4039 状态 | 队列 2239 | 最深 7 | 32s
  扩展 2000 | 见过 4376 状态 | 队列 2376 | 最深 7 | 35s
  扩展 2200 | 见过 4654 状态 | 队列 2454 | 最深 7 | 39s
  扩展 2400 | 见过 4879 状态 | 队列 2479 | 最深 7 | 42s
  扩展 2600 | 见过 5256 状态 | 队列 2656 | 最深 7 | 46s
  扩展 2800 | 见过 5654 状态 | 队列 2854 | 最深 7 | 49s
  扩展 3000 | 见过 5938 状态 | 队列 2938 | 最深 7 | 53s
  扩展 3200 | 见过 6175 状态 | 队列 2975 | 最深 7 | 56s
  扩展 3400 | 见过 6408 状态 | 队列 3008 | 最深 7 | 60s
  扩展 3600 | 见过 6626 状态 | 队列 3026 | 最深 7 | 63s
  扩展 3800 | 见过 6944 状态 | 队列 3144 | 最深 8 | 67s
  扩展 4000 | 见过 7225 状态 | 队列 3225 | 最深 8 | 70s
  扩展 4200 | 见过 7484 状态 | 队列 3284 | 最深 8 | 74s
  扩展 4400 | 见过 7741 状态 | 队列 3341 | 最深 8 | 77s
  扩展 4600 | 见过 7976 状态 | 队列 3376 | 最深 8 | 81s
  扩展 4800 | 见过 8190 状态 | 队列 3390 | 最深 8 | 84s
  扩展 5000 | 见过 8442 状态 | 队列 3442 | 最深 8 | 88s
  扩展 5200 | 见过 8680 状态 | 队列 3480 | 最深 8 | 91s
  扩展 5400 | 见过 9282 状态 | 队列 3882 | 最深 8 | 95s
  扩展 5600 | 见过 9693 状态 | 队列 4093 | 最深 8 | 98s
  扩展 5800 | 见过 9893 状态 | 队列 4093 | 最深 8 | 101s
  扩展 6000 | 见过 10131 状态 | 队列 4131 | 最深 8 | 105s
  扩展 6200 | 见过 10330 状态 | 队列 4130 | 最深 8 | 109s
  扩展 6400 | 见过 10545 状态 | 队列 4145 | 最深 8 | 112s
  扩展 6600 | 见过 10727 状态 | 队列 4127 | 最深 8 | 115s
  扩展 6800 | 见过 10927 状态 | 队列 4127 | 最深 9 | 119s
  扩展 7000 | 见过 11184 状态 | 队列 4184 | 最深 9 | 122s
  扩展 7200 | 见过 11417 状态 | 队列 4217 | 最深 9 | 126s
  扩展 7400 | 见过 11616 状态 | 队列 4216 | 最深 9 | 129s
  扩展 7600 | 见过 11838 状态 | 队列 4238 | 最深 9 | 133s
  扩展 7800 | 见过 12064 状态 | 队列 4264 | 最深 9 | 136s
  扩展 8000 | 见过 12268 状态 | 队列 4268 | 最深 9 | 140s
  扩展 8200 | 见过 12457 状态 | 队列 4257 | 最深 9 | 143s
  扩展 8400 | 见过 12635 状态 | 队列 4235 | 最深 9 | 146s
  扩展 8600 | 见过 12848 状态 | 队列 4248 | 最深 9 | 150s
  扩展 8800 | 见过 13053 状态 | 队列 4253 | 最深 9 | 153s
  扩展 9000 | 见过 13777 状态 | 队列 4777 | 最深 9 | 157s
  扩展 9200 | 见过 14322 状态 | 队列 5122 | 最深 9 | 161s
  扩展 9400 | 见过 14592 状态 | 队列 5192 | 最深 9 | 164s
  扩展 9600 | 见过 15347 状态 | 队列 5747 | 最深 9 | 167s
  扩展 9800 | 见过 15536 状态 | 队列 5736 | 最深 9 | 171s
  扩展 10000 | 见过 15700 状态 | 队列 5700 | 最深 9 | 175s
  扩展 10200 | 见过 15901 状态 | 队列 5701 | 最深 9 | 178s
  扩展 10400 | 见过 16056 状态 | 队列 5656 | 最深 9 | 181s
  扩展 10600 | 见过 16212 状态 | 队列 5612 | 最深 9 | 185s
  扩展 10800 | 见过 16354 状态 | 队列 5554 | 最深 10 | 188s
  扩展 11000 | 见过 16571 状态 | 队列 5571 | 最深 10 | 192s
  扩展 11200 | 见过 16772 状态 | 队列 5572 | 最深 10 | 195s
  扩展 11400 | 见过 16976 状态 | 队列 5576 | 最深 10 | 198s
  扩展 11600 | 见过 17156 状态 | 队列 5556 | 最深 10 | 202s
  扩展 11800 | 见过 17338 状态 | 队列 5538 | 最深 10 | 206s
  扩展 12000 | 见过 17527 状态 | 队列 5527 | 最深 10 | 209s
  未解出: 扩展 12000, 见过 17527 状态, 队列剩 5527, 209s
