INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-18 10:13:06 | INFO | Created new scorecard: 55af9c8f-e58e-43cc-9eab-2b0f72eda23a
2026-08-18 10:13:06 | INFO | Found latest version of sc25: sc25-635fd71a (downloaded: 2026-08-07 09:21:02.685063+00:00)
2026-08-18 10:13:06 | INFO | Successfully loaded game class Sc25 from environment_files/sc25/635fd71a/sc25.py
L3 画布初始色 [[2, 0, 2], [2, 0, 2], [2, 0, 2]] (每格在 初始色 <-> 14 之间切换)
  扩展 500 | 见过 2282 | 队列 1782 | 最深 3 | 19s
  扩展 1000 | 见过 3745 | 队列 2745 | 最深 4 | 37s
  扩展 1500 | 见过 5108 | 队列 3608 | 最深 4 | 55s
  扩展 2000 | 见过 6263 | 队列 4263 | 最深 4 | 73s
  扩展 2500 | 见过 7209 | 队列 4709 | 最深 4 | 91s
  扩展 3000 | 见过 8307 | 队列 5307 | 最深 5 | 109s
  扩展 3500 | 见过 9454 | 队列 5954 | 最深 5 | 126s
  扩展 4000 | 见过 10424 | 队列 6424 | 最深 5 | 144s
  扩展 4500 | 见过 11366 | 队列 6866 | 最深 5 | 162s
  扩展 5000 | 见过 12370 | 队列 7370 | 最深 5 | 179s
  扩展 5500 | 见过 13190 | 队列 7690 | 最深 5 | 197s
  扩展 6000 | 见过 14009 | 队列 8009 | 最深 5 | 214s
  扩展 6500 | 见过 14764 | 队列 8264 | 最深 5 | 232s
  扩展 7000 | 见过 15341 | 队列 8341 | 最深 5 | 250s
  扩展 7500 | 见过 15881 | 队列 8381 | 最深 6 | 267s
  扩展 8000 | 见过 17015 | 队列 9015 | 最深 6 | 285s
  扩展 8500 | 见过 17794 | 队列 9294 | 最深 6 | 302s
  扩展 9000 | 见过 18769 | 队列 9769 | 最深 6 | 321s
  扩展 9500 | 见过 19496 | 队列 9996 | 最深 6 | 338s
  扩展 10000 | 见过 20185 | 队列 10185 | 最深 6 | 356s
  扩展 10500 | 见过 20706 | 队列 10206 | 最深 6 | 373s
  扩展 11000 | 见过 21525 | 队列 10525 | 最深 6 | 391s
  扩展 11500 | 见过 22224 | 队列 10724 | 最深 6 | 408s
  扩展 12000 | 见过 22947 | 队列 10947 | 最深 6 | 426s
  扩展 12500 | 见过 23547 | 队列 11047 | 最深 6 | 444s
  扩展 13000 | 见过 24203 | 队列 11203 | 最深 6 | 461s
  扩展 13500 | 见过 24840 | 队列 11340 | 最深 6 | 480s
  扩展 14000 | 见过 25308 | 队列 11308 | 最深 6 | 497s
  扩展 14500 | 见过 25890 | 队列 11390 | 最深 6 | 514s
  扩展 15000 | 见过 26321 | 队列 11321 | 最深 6 | 532s
  扩展 15500 | 见过 26674 | 队列 11174 | 最深 6 | 549s
  扩展 16000 | 见过 27436 | 队列 11436 | 最深 7 | 568s
  扩展 16500 | 见过 28145 | 队列 11645 | 最深 7 | 585s
  扩展 17000 | 见过 28872 | 队列 11872 | 最深 7 | 603s
  扩展 17500 | 见过 29509 | 队列 12009 | 最深 7 | 620s
  扩展 18000 | 见过 30059 | 队列 12059 | 最深 7 | 639s
  扩展 18500 | 见过 30764 | 队列 12264 | 最深 7 | 657s
  扩展 19000 | 见过 31267 | 队列 12267 | 最深 7 | 675s
  扩展 19500 | 见过 31786 | 队列 12286 | 最深 7 | 693s
  扩展 20000 | 见过 32254 | 队列 12254 | 最深 7 | 711s
  扩展 20500 | 见过 32634 | 队列 12134 | 最深 7 | 730s
  扩展 21000 | 见过 33219 | 队列 12219 | 最深 7 | 748s
  扩展 21500 | 见过 33874 | 队列 12374 | 最深 7 | 766s
  扩展 22000 | 见过 34345 | 队列 12345 | 最深 7 | 784s
  扩展 22500 | 见过 34913 | 队列 12413 | 最深 7 | 802s
  扩展 23000 | 见过 35343 | 队列 12343 | 最深 7 | 821s
  扩展 23500 | 见过 35715 | 队列 12215 | 最深 7 | 839s
  扩展 24000 | 见过 36210 | 队列 12210 | 最深 7 | 857s
  扩展 24500 | 见过 36626 | 队列 12126 | 最深 7 | 875s
  扩展 25000 | 见过 37063 | 队列 12063 | 最深 7 | 893s
  扩展 25500 | 见过 37423 | 队列 11923 | 最深 7 | 911s
  扩展 26000 | 见过 37742 | 队列 11742 | 最深 7 | 929s
  扩展 26500 | 见过 38008 | 队列 11508 | 最深 7 | 948s
  扩展 27000 | 见过 38594 | 队列 11594 | 最深 8 | 966s
  扩展 27500 | 见过 39235 | 队列 11735 | 最深 8 | 984s
  扩展 28000 | 见过 39690 | 队列 11690 | 最深 8 | 1002s
  扩展 28500 | 见过 40269 | 队列 11769 | 最深 8 | 1020s
  扩展 29000 | 见过 40711 | 队列 11711 | 最深 8 | 1039s
  扩展 29500 | 见过 41058 | 队列 11558 | 最深 8 | 1057s
  扩展 30000 | 见过 41553 | 队列 11553 | 最深 8 | 1075s
  扩展 30500 | 见过 41969 | 队列 11469 | 最深 8 | 1093s
  扩展 31000 | 见过 42406 | 队列 11406 | 最深 8 | 1111s
  扩展 31500 | 见过 42766 | 队列 11266 | 最深 8 | 1129s
  扩展 32000 | 见过 43085 | 队列 11085 | 最深 8 | 1149s
  扩展 32500 | 见过 43351 | 队列 10851 | 最深 8 | 1167s
  扩展 33000 | 见过 43814 | 队列 10814 | 最深 8 | 1185s
  扩展 33500 | 见过 44248 | 队列 10748 | 最深 8 | 1203s
  扩展 34000 | 见过 44657 | 队列 10657 | 最深 8 | 1221s
  扩展 34500 | 见过 45024 | 队列 10524 | 最深 8 | 1239s
  扩展 35000 | 见过 45373 | 队列 10373 | 最深 8 | 1258s
  扩展 35500 | 见过 45638 | 队列 10138 | 最深 8 | 1276s
  扩展 36000 | 见过 45963 | 队列 9963 | 最深 8 | 1294s
  扩展 36500 | 见过 46290 | 队列 9790 | 最深 8 | 1311s
  扩展 37000 | 见过 46539 | 队列 9539 | 最深 8 | 1329s
  扩展 37500 | 见过 46792 | 队列 9292 | 最深 8 | 1347s
